t(s), cv(%), R($), iR($), C($), iC($), d
93,62.4,1758.859,1842.105,45382171.5,72530.864,16.8
94,62.4,1771.021,1854.846,45382813.47,73302.469,16.8
95,62.4,1795.309,1879.484,45383455.45,74074.074,16.8
96,62.4,1822.804,1907.514,45384097.42,74845.679,16.8
97,62.4,1842.053,1927.922,45384739.4,75617.284,16.8
98,62.4,1853.327,1940.082,45385381.37,76388.889,16.8
99,62.4,1881.185,1968.92,45386023.35,77160.494,16.8
100,62.4,1913.941,2002.033,45386665.32,77932.099,16.8
101,62.4,1925.874,2014.329,45387307.3,78703.704,16.8
102,62.4,1938.728,2027.256,45387949.27,79475.309,16.8
103,62.4,1969.405,2058.357,45388591.25,80246.914,16.8
104,62.4,1989.191,2078.544,45389233.22,81018.519,16.8
105,62.4,1997.102,2086.717,45389875.2,81790.123,16.8
106,62.4,2023.212,2113.378,45390517.17,82561.728,16.8
107,62.4,2047.496,2137.941,45391159.15,83333.333,16.8
108,62.4,2065.172,2156.141,45391801.12,84104.938,16.8
109,62.4,2076.212,2167.539,45392443.1,84876.543,16.8
110,62.4,2100.373,2192.744,45393085.08,85648.148,16.8
111,62.4,2133.438,2226.149,45393727.05,86419.753,16.8
112,62.4,2150.407,2243.206,45394369.03,87191.358,16.8
113,62.4,2164.34,2257.578,45395011,87962.963,16.8
114,62.4,2197.405,2291.612,45395652.98,88734.568,16.8
115,62.4,2220.812,2315.069,45396294.95,89506.173,16.8
116,62.4,2233.476,2327.88,45396936.93,90277.778,16.8
117,62.4,2262.286,2357.712,45397578.9,91049.383,16.8
118,62.4,2291.2,2386.854,45398220.88,91820.988,16.8
119,62.4,2310.81,2407.112,45398862.85,92592.593,16.8
120,62.4,2323.332,2419.778,45399504.83,93364.198,16.8
121,62.4,2353.031,2450.037,45400146.8,94135.802,16.8
122,62.4,2387,2484.441,45400788.78,94907.407,16.8
123,62.4,2398.158,2496.672,45401430.75,95679.012,16.8
124,62.4,2410.839,2509.68,45402072.73,96450.617,16.8
125,62.4,2442.384,2542.625,45402714.71,97222.222,16.8
126,62.4,2460.709,2561.844,45403356.68,97993.827,16.8
127,62.4,2470.72,2572.95,45403998.66,98765.432,16.8
128,62.4,2497.973,2601.387,45404640.63,99537.037,16.8
129,62.4,2522.931,2626.977,45405282.61,100308.642,16.8
130,62.4,2538.487,2646.19,45405924.58,101080.247,16.8
131,62.4,2550.275,2658.925,45406566.56,101851.852,16.8
132,62.4,2574.796,2684.934,45407208.53,102623.457,16.8
133,62.4,2605.971,2717.22,45407850.51,103395.062,16.8
134,62.4,2622.553,2734.275,45408492.48,104166.667,16.8
135,62.4,2637.261,2750.012,45409134.46,104938.272,16.8
136,62.4,2670.933,2784.896,45409776.43,105709.877,16.8
137,62.4,2691.442,2806.664,45410418.41,106481.481,16.8
138,62.4,2703.606,2819.822,45411060.38,107253.086,16.8
139,62.4,2733.756,2851.393,45411702.36,108024.691,16.8
140,62.4,2763.198,2881.608,45412344.33,108796.296,16.8
141,62.4,2782.709,2901.726,45412986.31,109567.901,16.8
142,62.4,2795.048,2915.702,45413628.29,110339.506,16.8
143,62.4,2826.714,2947.636,45414270.26,111111.111,16.8
144,62.4,2859.046,2981.678,45414912.24,111882.716,16.8
145,62.4,2867.307,2990.538,45415554.21,112654.321,16.8
146,62.4,2886.274,3009.838,45416196.19,113425.926,16.8
147,62.4,2916.665,3042.892,45416838.16,114197.531,16.8
148,62.4,2934.209,3062.061,45417480.14,114969.136,16.8
149,62.4,2945.061,3074.128,45418122.11,115740.741,16.8
150,62.4,2973.146,3104.039,45418764.09,116512.346,16.8
151,62.4,2999.366,3131.004,45419406.06,117283.951,16.8
152,62.4,3017.881,3149.713,45420048.04,118055.556,16.8
153,62.4,3030.547,3163.597,45420690.01,118827.16,16.8
154,62.4,3056.988,3190.826,45421331.99,119598.765,16.8
155,62.4,3089.56,3224.184,45421973.96,120370.37,16.8
156,62.4,3105.243,3240.674,45422615.94,121141.975,16.8
157,62.4,3124.184,3260.041,45423257.91,121913.58,16.8
158,62.4,3159.657,3296.288,45423899.89,122685.185,16.8
159,62.4,3181.097,3318.668,45424541.87,123456.79,16.8
160,62.4,3194.962,3333.545,45425183.84,124228.395,16.8
161,62.4,3226.425,3365.859,45425825.82,125000,16.8
162,62.4,3257.643,3397.304,45426467.79,125771.605,16.8
163,62.4,3277.692,3417.836,45427109.77,126543.21,16.8
164,62.4,3292.405,3432.681,45427751.74,127314.815,16.8
165,62.4,3323.533,3465.334,45428393.72,128086.42,16.8
166,62.4,3355.426,3497.643,45429035.69,128858.025,16.8
167,62.4,3364.315,3506.656,45429677.67,129629.63,16.8
168,62.4,3390.594,3533.243,45430319.64,130401.235,16.8
169,62.4,3423.756,3566.654,45430961.62,131172.84,16.8
170,62.4,3439.06,3582.388,45431603.59,131944.444,16.8
171,62.4,3452.354,3596.627,45432245.57,132716.049,16.8
172,62.4,3483.504,3628.485,45432887.54,133487.654,16.8
173,62.4,3513.751,3659.247,45433529.52,134259.259,16.8
174,62.4,3531.708,3677.407,45434171.5,135030.864,16.8
175,62.4,3545.605,3691.735,45434813.47,135802.469,16.8
176,62.4,3573.476,3720.257,45435455.45,136574.074,16.8
177,62.4,3605.442,3752.728,45436097.42,137345.679,16.8
178,62.4,3617.067,3764.407,45436739.4,138117.284,16.8
179,62.4,3639.86,3789.929,45437381.37,138888.889,16.8
180,62.4,3675.287,3825.805,45438023.35,139660.494,16.8
181,62.4,3697.315,3848.515,45438665.32,140432.099,16.8
182,62.4,3710.211,3861.539,45439307.3,141203.704,16.8
183,62.4,3740.957,3894.662,45439949.27,141975.309,16.8
184,62.4,3773.113,3927.294,45440591.25,142746.914,16.8
185,62.4,3792.946,3948.195,45441233.22,143518.519,16.8
186,62.4,3808.004,3963.588,45441875.2,144290.123,16.8
187,62.4,3840.825,3997.868,45442517.17,145061.728,16.8
188,62.4,3870.345,4029.031,45443159.15,145833.333,16.8
189,62.4,3880.426,4039.264,45443801.12,146604.938,16.8
190,62.4,3909.07,4068.135,45444443.1,147376.543,16.8
191,62.4,3944.869,4104.917,45445085.08,148148.148,16.8
192,62.4,3960.491,4121.009,45445727.05,148919.753,16.8
193,62.4,3975.044,4135.924,45446369.03,149691.358,16.8
194,62.4,4006.252,4168.199,45447011,150462.963,16.8
195,62.4,4035.457,4199.631,45447652.98,151234.568,16.8
196,62.4,4052.607,4218.198,45448294.95,152006.173,16.8
197,62.4,4067.421,4233.043,45448936.93,152777.778,16.8
198,62.4,4095.066,4262.342,45449578.9,153549.383,16.8
199,62.4,4120.224,4291.693,45450220.88,154320.988,16.8
200,62.4,4131.256,4303.263,45450862.85,155092.593,16.8
201,62.4,4157.529,4332.317,45451504.83,155864.198,16.8
202,62.4,4192.632,4369.933,45452146.8,156635.802,16.8
203,62.4,4212.387,4391.81,45452788.78,157407.407,16.8
204,62.4,4223.548,4406.545,45453430.75,158179.012,16.8
205,62.4,4257.917,4441.75,45454072.73,158950.617,16.8
206,62.4,4289.989,4475.094,45454714.71,159722.222,16.8
207,62.4,4308.117,4494.339,45455356.68,160493.827,16.8
208,62.4,4324.499,4511.061,45455998.66,161265.432,16.8
209,62.4,4358.345,4545.429,45456640.63,162037.037,16.8
210,62.4,4386.979,4574.773,45457282.61,162808.642,16.8
211,62.4,4397.768,4587.15,45457924.58,163580.247,16.8
212,62.4,4429.867,4621.606,45458566.56,164351.852,16.8
213,62.4,4465.906,4659.05,45459208.53,165123.457,16.8
214,62.4,4481.285,4674.788,45459850.51,165895.062,16.8
215,62.4,4494.994,4690.563,45460492.48,166666.667,16.8
216,62.4,4527.82,4724.867,45461134.46,167438.272,16.8
217,62.4,4558.75,4756.932,45461776.43,168209.877,16.8
218,62.4,4573.731,4773.705,45462418.41,168981.481,16.8
219,62.4,4589.553,4789.807,45463060.38,169753.086,16.8
220,62.4,4623.381,4824.826,45463702.36,170524.691,16.8
221,62.4,4644.39,4849.011,45464344.33,171296.296,16.8
222,62.4,4657.07,4862.198,45464986.31,172067.901,16.8
223,62.4,4686.5,4892.413,45465628.29,172839.506,16.8
224,62.4,4724.85,4931.039,45466270.26,173611.111,16.8
225,62.4,4746.657,4953.039,45466912.24,174382.716,16.8
226,62.4,4762.775,4969.307,45467554.21,175154.321,16.8
227,62.4,4795.508,5003.338,45468196.19,175925.926,16.8
228,62.4,4827.021,5035.004,45468838.16,176697.531,16.8
229,62.4,4845.479,5053.892,45469480.14,177469.136,16.8
230,62.4,4867.198,5075.914,45470122.11,178240.741,16.8
231,62.4,4902.345,5111.443,45470764.09,179012.346,16.8
