# t(s), cv(%), R($), iR($), C($), iC($), d
113.000,75.000,0.867,0.867,771.605,771.605,0.000
114.000,75.000,1.193,1.193,771.605,771.605,0.000
115.000,75.000,5.109,5.109,771.605,771.605,0.000
116.000,75.000,0.418,0.418,771.605,771.605,0.000
117.000,75.000,0.871,0.871,771.605,771.605,0.000
118.000,75.000,1.387,1.387,771.605,771.605,0.000
119.000,75.000,1.092,1.092,771.605,771.605,0.000
120.000,75.000,0.678,0.678,771.605,771.605,0.000
121.000,75.000,1.638,1.638,771.605,771.605,0.000
122.000,75.000,1.478,1.478,771.605,771.605,0.000
123.000,75.000,0.509,0.509,771.605,771.605,0.000
124.000,75.000,0.954,0.954,771.605,771.605,0.000
125.000,75.000,1.838,1.838,771.605,771.605,0.000
126.000,75.000,1.277,1.277,771.605,771.605,0.000
127.000,75.000,0.469,0.469,771.605,771.605,0.000
128.000,75.000,1.237,1.237,771.605,771.605,0.000
129.000,75.000,1.342,1.342,771.605,771.605,0.000
130.000,75.000,0.949,0.949,771.605,771.605,0.000
131.000,75.000,0.438,0.438,771.605,771.605,0.000
132.000,75.000,1.185,1.185,771.605,771.605,0.000
133.000,75.000,1.303,1.303,771.605,771.605,0.000
134.000,75.000,0.571,0.571,771.605,771.605,0.000
135.000,75.000,0.657,0.657,771.605,771.605,0.000
136.000,75.000,1.850,1.850,771.605,771.605,0.000
137.000,75.000,2.425,2.425,771.605,771.605,0.000
138.000,75.000,0.552,0.552,771.605,771.605,0.000
139.000,75.000,0.846,0.846,771.605,771.605,0.000
140.000,75.000,1.774,1.774,771.605,771.605,0.000
141.000,75.000,0.718,0.718,771.605,771.605,0.000
142.000,75.000,0.428,0.428,771.605,771.605,0.000
143.000,75.000,1.575,1.575,771.605,771.605,0.000
144.000,75.000,1.711,1.711,771.605,771.605,0.000
145.000,75.000,0.381,0.381,771.605,771.605,0.000
146.000,75.000,0.734,0.734,771.605,771.605,0.000
147.000,75.000,1.906,1.906,771.605,771.605,0.000
148.000,75.000,1.189,1.189,771.605,771.605,0.000
149.000,75.000,1.111,1.111,771.605,771.605,0.000
150.000,75.000,1.466,1.466,771.605,771.605,0.000
151.000,75.000,1.866,1.866,771.605,771.605,0.000
152.000,75.000,1.024,1.024,771.605,771.605,0.000
153.000,75.000,0.557,0.557,771.605,771.605,0.000
154.000,75.000,1.584,1.584,771.605,771.605,0.000
155.000,75.000,1.398,1.398,771.605,771.605,0.000
156.000,75.000,0.427,0.427,771.605,771.605,0.000
157.000,75.000,0.904,0.904,771.605,771.605,0.000
158.000,75.000,2.297,2.297,771.605,771.605,0.000
159.000,75.000,1.059,1.059,771.605,771.605,0.000
160.000,75.000,0.514,0.514,771.605,771.605,0.000
161.000,75.000,2.020,2.020,771.605,771.605,0.000
162.000,75.000,2.954,2.954,771.605,771.605,0.000
163.000,75.000,0.704,0.704,771.605,771.605,0.000
164.000,75.000,0.802,0.802,771.605,771.605,0.000
165.000,75.000,1.428,1.428,771.605,771.605,0.000
166.000,75.000,1.381,1.381,771.605,771.605,0.000
167.000,75.000,0.383,0.383,771.605,771.605,0.000
168.000,75.000,1.031,1.031,771.605,771.605,0.000
169.000,75.000,1.926,1.926,771.605,771.605,0.000
170.000,75.000,0.864,0.864,771.605,771.605,0.000
171.000,75.000,1.086,1.086,771.605,771.605,0.000
172.000,75.000,1.407,1.407,771.605,771.605,0.000
173.000,75.000,1.396,1.396,771.605,771.605,0.000
174.000,75.000,0.747,0.747,771.605,771.605,0.000
175.000,75.000,0.908,0.908,771.605,771.605,0.000
176.000,75.000,1.464,1.464,771.605,771.605,0.000
177.000,75.000,1.409,1.409,771.605,771.605,0.000
178.000,75.000,0.689,0.689,771.605,771.605,0.000
179.000,75.000,1.155,1.155,771.605,771.605,0.000
180.000,75.000,1.666,1.666,771.605,771.605,0.000
181.000,75.000,1.143,1.143,771.605,771.605,0.000
182.000,75.000,0.480,0.480,771.605,771.605,0.000
183.000,75.000,1.003,1.003,771.605,771.605,0.000
184.000,75.000,3.914,3.914,771.605,771.605,0.000
185.000,75.000,0.499,0.499,771.605,771.605,0.000
186.000,75.000,0.735,0.735,771.605,771.605,0.000
187.000,75.000,1.336,1.336,771.605,771.605,0.000
188.000,75.000,2.304,2.304,771.605,771.605,0.000
189.000,75.000,0.313,0.313,771.605,771.605,0.000
190.000,75.000,1.251,1.251,771.605,771.605,0.000
191.000,75.000,2.386,2.386,771.605,771.605,0.000
192.000,75.000,0.905,0.905,771.605,771.605,0.000
193.000,75.000,0.586,0.586,771.605,771.605,0.000
194.000,75.000,2.740,2.740,771.605,771.605,0.000
195.000,75.000,1.359,1.359,771.605,771.605,0.000
196.000,75.000,1.801,1.801,771.605,771.605,0.000
197.000,75.000,1.061,1.061,771.605,771.605,0.000
198.000,75.000,1.642,1.642,771.605,771.605,0.000
199.000,75.000,1.527,1.527,771.605,771.605,0.000
200.000,75.000,0.494,0.494,771.605,771.605,0.000
201.000,75.000,1.709,1.709,771.605,771.605,0.000
202.000,75.000,2.323,2.323,771.605,771.605,0.000
203.000,75.000,1.311,1.311,771.605,771.605,0.000
204.000,75.000,0.724,0.724,771.605,771.605,0.000
205.000,75.000,1.875,1.875,771.605,771.605,0.000
206.000,75.000,1.674,1.674,771.605,771.605,0.000
207.000,75.000,0.456,0.456,771.605,771.605,0.000
208.000,75.000,0.660,0.660,771.605,771.605,0.000
209.000,75.000,2.089,2.089,771.605,771.605,0.000
210.000,75.000,1.559,1.559,771.605,771.605,0.000
211.000,75.000,0.481,0.481,771.605,771.605,0.000
212.000,75.000,1.872,1.872,771.605,771.605,0.000
213.000,75.000,2.255,2.255,771.605,771.605,0.000
214.000,75.000,0.500,0.500,771.605,771.605,0.000
215.000,75.000,1.051,1.051,771.605,771.605,0.000
216.000,75.000,1.843,1.843,771.605,771.605,0.000
217.000,75.000,1.594,1.594,771.605,771.605,0.000
218.000,75.000,0.567,0.567,771.605,771.605,0.000
219.000,75.000,0.784,0.784,771.605,771.605,0.000
220.000,75.000,2.126,2.126,771.605,771.605,0.000
221.000,75.000,1.800,1.800,771.605,771.605,0.000
222.000,75.000,1.222,1.222,771.605,771.605,0.000
223.000,75.000,1.569,1.569,771.605,771.605,0.000
224.000,75.000,1.627,1.627,771.605,771.605,0.000
225.000,75.000,3.273,3.273,771.605,771.605,0.000
226.000,75.000,0.684,0.684,771.605,771.605,0.000
227.000,75.000,1.886,1.886,771.605,771.605,0.000
228.000,75.000,1.476,1.476,771.605,771.605,0.000
229.000,75.000,0.483,0.483,771.605,771.605,0.000
230.000,75.000,0.839,0.839,771.605,771.605,0.000
231.000,75.000,1.996,1.996,771.605,771.605,0.000
232.000,75.000,1.859,1.859,771.605,771.605,0.000
233.000,75.000,0.404,0.404,771.605,771.605,0.000
234.000,75.000,1.252,1.252,771.605,771.605,0.000
235.000,75.000,4.623,4.623,771.605,771.605,0.000
236.000,75.000,1.229,1.229,771.605,771.605,0.000
237.000,75.000,0.952,0.952,771.605,771.605,0.000
238.000,75.000,4.488,4.488,771.605,771.605,0.000
239.000,75.000,1.480,1.480,771.605,771.605,0.000
240.000,75.000,0.602,0.602,771.605,771.605,0.000
241.000,75.000,1.382,1.382,771.605,771.605,0.000
242.000,75.000,2.110,2.110,771.605,771.605,0.000
243.000,75.000,1.347,1.347,771.605,771.605,0.000
244.000,75.000,0.712,0.712,771.605,771.605,0.000
245.000,75.000,2.072,2.072,771.605,771.605,0.000
246.000,75.000,1.822,1.822,771.605,771.605,0.000
247.000,75.000,1.082,1.082,771.605,771.605,0.000
248.000,75.000,0.805,0.805,771.605,771.605,0.000
249.000,75.000,1.902,1.902,771.605,771.605,0.000
250.000,75.000,1.418,1.418,771.605,771.605,0.000
251.000,75.000,0.894,0.894,771.605,771.605,0.000
252.000,75.000,0.971,0.971,771.605,771.605,0.000
253.000,75.000,4.615,4.615,771.605,771.605,0.000
254.000,75.000,1.139,1.139,771.605,771.605,0.000
255.000,75.000,0.434,0.434,771.605,771.605,0.000
256.000,75.000,1.625,1.625,771.605,771.605,0.000
257.000,75.000,1.405,1.405,771.605,771.605,0.000
258.000,75.000,0.571,0.571,771.605,771.605,0.000
259.000,75.000,0.544,0.544,771.605,771.605,0.000
260.000,75.000,3.729,3.729,771.605,771.605,0.000
261.000,75.000,1.592,1.592,771.605,771.605,0.000
262.000,75.000,0.676,0.676,771.605,771.605,0.000
263.000,75.000,4.303,4.303,771.605,771.605,0.000
264.000,75.000,2.117,2.117,771.605,771.605,0.000
265.000,75.000,1.079,1.079,771.605,771.605,0.000
266.000,75.000,0.982,0.982,771.605,771.605,0.000
267.000,75.000,1.891,1.891,771.605,771.605,0.000
268.000,75.000,1.861,1.861,771.605,771.605,0.000
269.000,75.000,1.741,1.741,771.605,771.605,0.000
270.000,75.000,0.658,0.658,771.605,771.605,0.000
271.000,75.000,2.342,2.342,771.605,771.605,0.000
272.000,75.000,1.353,1.353,771.605,771.605,0.000
273.000,75.000,0.697,0.697,771.605,771.605,0.000
274.000,75.000,1.113,1.113,771.605,771.605,0.000
275.000,75.000,3.554,3.554,771.605,771.605,0.000
276.000,75.000,2.503,2.503,771.605,771.605,0.000
277.000,75.000,0.399,0.399,771.605,771.605,0.000
278.000,75.000,2.307,2.307,771.605,771.605,0.000
279.000,75.000,2.049,2.049,771.605,771.605,0.000
280.000,75.000,0.731,0.731,771.605,771.605,0.000
281.000,75.000,1.503,1.503,771.605,771.605,0.000
