# t(s), cv(%), R(US$), iR(US$), C(US$), iC(US$), d
0.000,75.000,66.980,66.980,0.772,771.605,0.000
100.000,75.000,202.392,202.392,0.772,1543.210,0.000
200.000,75.000,261.381,261.381,0.772,2314.815,0.000
300.000,75.000,313.524,313.524,0.772,3086.420,0.000
400.000,75.000,407.177,407.177,0.772,3858.025,0.000
500.000,75.000,696.500,696.500,0.772,4629.630,0.000
600.000,75.000,752.092,752.092,0.772,5401.235,0.000
700.000,75.000,800.813,800.813,0.772,6172.840,0.000
800.000,75.000,1063.764,1063.764,0.772,6944.444,0.000
900.000,75.000,1162.539,1162.539,0.772,7716.049,0.000
1000.000,75.000,1201.924,1201.924,0.772,8487.654,0.000
1100.000,75.000,1285.223,1285.223,0.772,9259.259,0.000
1200.000,75.000,1433.142,1433.142,0.772,10030.864,0.000
1300.000,75.000,1491.457,1491.457,0.772,10802.469,0.000
1400.000,75.000,1524.652,1524.652,0.772,11574.074,0.000
1500.000,75.000,1679.998,1679.998,0.772,12345.679,0.000
1600.000,75.000,1828.511,1828.511,0.772,13117.284,0.000
1700.000,75.000,1900.295,1900.295,0.772,13888.889,0.000
1800.000,75.000,1938.779,1938.779,0.772,14660.494,0.000
1900.000,75.000,2056.823,2056.823,0.772,15432.099,0.000
2000.000,75.000,2253.534,2253.534,0.772,16203.704,0.000
2100.000,75.000,2292.684,2292.684,0.772,16975.309,0.000
2200.000,75.000,2387.432,2387.432,0.772,17746.914,0.000
2300.000,75.000,2565.446,2565.446,0.772,18518.519,0.000
2400.000,75.000,2634.687,2634.687,0.772,19290.123,0.000
2500.000,75.000,2670.525,2670.525,0.772,20061.728,0.000
2600.000,75.000,2825.692,2825.692,0.772,20833.333,0.000
2700.000,75.000,3002.440,3002.440,0.772,21604.938,0.000
2800.000,75.000,3037.144,3037.144,0.772,22376.543,0.000
2900.000,75.000,3084.124,3084.124,0.772,23148.148,0.000
3000.000,75.000,3309.000,3309.000,0.772,23919.753,0.000
3100.000,75.000,3399.555,3399.555,0.772,24691.358,0.000
