# t(s), cv(%), R(US$), iR(US$), C(US$), iC(US$), d
0.000,75.000,1406.588,1406.588,45322498.655,771.605,0.000
100.000,75.000,4249.907,4249.907,45323270.260,1543.210,0.000
200.000,75.000,5488.130,5488.130,45324041.865,2314.815,0.000
300.000,75.000,6582.032,6582.032,45324813.470,3086.420,0.000
400.000,75.000,8545.315,8545.315,45325585.075,3858.025,0.000
500.000,75.000,14604.622,14604.622,45326356.680,4629.630,0.000
600.000,75.000,15767.490,15767.490,45327128.285,5401.235,0.000
700.000,75.000,16785.238,16785.238,45327899.890,6172.840,0.000
800.000,75.000,22269.206,22269.206,45328671.495,6944.444,0.000
900.000,75.000,24325.475,24325.475,45329443.100,7716.049,0.000
1000.000,75.000,25143.736,25143.736,45330214.705,8487.654,0.000
1100.000,75.000,26870.454,26870.454,45330986.309,9259.259,0.000
1200.000,75.000,29929.233,29929.233,45331757.914,10030.864,0.000
1300.000,75.000,31131.928,31131.928,45332529.519,10802.469,0.000
1400.000,75.000,31814.608,31814.608,45333301.124,11574.074,0.000
1500.000,75.000,34999.647,34999.647,45334072.729,12345.679,0.000
1600.000,75.000,38034.736,38034.736,45334844.334,13117.284,0.000
1700.000,75.000,39496.705,39496.705,45335615.939,13888.889,0.000
1800.000,75.000,40277.632,40277.632,45336387.544,14660.494,0.000
1900.000,75.000,42663.829,42663.829,45337159.149,15432.099,0.000
2000.000,75.000,46624.291,46624.291,45337930.754,16203.704,0.000
2100.000,75.000,47409.204,47409.204,45338702.359,16975.309,0.000
2200.000,75.000,49300.443,49300.443,45339473.964,17746.914,0.000
2300.000,75.000,52837.491,52837.491,45340245.569,18518.519,0.000
2400.000,75.000,54206.736,54206.736,45341017.174,19290.123,0.000
2500.000,75.000,54911.935,54911.935,45341788.779,20061.728,0.000
2600.000,75.000,57949.658,57949.658,45342560.384,20833.333,0.000
2700.000,75.000,61391.601,61391.601,45343331.989,21604.938,0.000
2800.000,75.000,62063.738,62063.738,45344103.593,22376.543,0.000
2900.000,75.000,62968.535,62968.535,45344875.198,23148.148,0.000
3000.000,75.000,67274.431,67274.431,45345646.803,23919.753,0.000
3100.000,75.000,68998.057,68998.057,45346418.408,24691.358,0.000
3200.000,75.000,69745.985,69745.985,45347190.013,25462.963,0.000
3300.000,75.000,78002.623,78002.623,45347961.618,26234.568,0.000
3400.000,75.000,80896.979,80896.979,45348733.223,27006.173,0.000
3500.000,75.000,82412.098,82412.098,45349504.828,27777.778,0.000
3600.000,75.000,83215.564,83215.564,45350276.433,28549.383,0.000
3700.000,75.000,85209.269,85209.269,45351048.038,29320.988,0.000
3800.000,75.000,87606.973,87606.973,45351819.643,30092.593,0.000
3900.000,75.000,88913.826,88913.826,45352591.248,30864.198,0.000
4000.000,75.000,89685.257,89685.257,45353362.853,31635.802,0.000
4100.000,75.000,92794.056,92794.056,45354134.458,32407.407,0.000
4200.000,75.000,94658.996,94658.996,45354906.063,33179.012,0.000
4300.000,75.000,95423.901,95423.901,45355677.668,33950.617,0.000
4400.000,75.000,97534.126,97534.126,45356449.272,34722.222,0.000
4500.000,75.000,100682.304,100682.304,45357220.877,35493.827,0.000
4600.000,75.000,104277.694,104277.694,45357992.482,36265.432,0.000
4700.000,75.000,105391.991,105391.991,45358764.087,37037.037,0.000
4800.000,75.000,107913.215,107913.215,45359535.692,37808.642,0.000
4900.000,75.000,113231.623,113231.623,45360307.297,38580.247,0.000
5000.000,75.000,113775.675,113775.675,45361078.902,39351.852,0.000
5100.000,75.000,115772.831,115772.831,45361850.507,40123.457,0.000
5200.000,75.000,118706.272,118706.272,45362622.112,40895.062,0.000
5300.000,75.000,121463.900,121463.900,45363393.717,41666.667,0.000
5400.000,75.000,122173.291,122173.291,45364165.322,42438.272,0.000
5500.000,75.000,125319.101,125319.101,45364936.927,43209.877,0.000
5600.000,75.000,128426.215,128426.215,45365708.532,43981.481,0.000
5700.000,75.000,130305.256,130305.256,45366480.137,44753.086,0.000
5800.000,75.000,131724.073,131724.073,45367251.742,45524.691,0.000
5900.000,75.000,135498.848,135498.848,45368023.347,46296.296,0.000
6000.000,75.000,137799.893,137799.893,45368794.952,47067.901,0.000
6100.000,75.000,138728.652,138728.652,45369566.556,47839.506,0.000
6200.000,75.000,140299.014,140299.014,45370338.161,48611.111,0.000
6300.000,75.000,143226.746,143226.746,45371109.766,49382.716,0.000
6400.000,75.000,144933.684,144933.684,45371881.371,50154.321,0.000
6500.000,75.000,145407.427,145407.427,45372652.976,50925.926,0.000
6600.000,75.000,147045.617,147045.617,45373424.581,51697.531,0.000
6700.000,75.000,149298.801,149298.801,45374196.186,52469.136,0.000
6800.000,75.000,151414.328,151414.328,45374967.791,53240.741,0.000
6900.000,75.000,152660.767,152660.767,45375739.396,54012.346,0.000
7000.000,75.000,154397.638,154397.638,45376511.001,54783.951,0.000
7100.000,75.000,158377.857,158377.857,45377282.606,55555.556,0.000
7200.000,75.000,159530.819,159530.819,45378054.211,56327.160,0.000
7300.000,75.000,160430.085,160430.085,45378825.816,57098.765,0.000
7400.000,75.000,167247.205,167247.205,45379597.421,57870.370,0.000
7500.000,75.000,168809.713,168809.713,45380369.026,58641.975,0.000
7600.000,75.000,169490.275,169490.275,45381140.631,59413.580,0.000
7700.000,75.000,171578.745,171578.745,45381912.236,60185.185,0.000
7800.000,75.000,175154.004,175154.004,45382683.840,60956.790,0.000
7900.000,75.000,176285.127,176285.127,45383455.445,61728.395,0.000
8000.000,75.000,177030.562,177030.562,45384227.050,62500.000,0.000
8100.000,75.000,179859.613,179859.613,45384998.655,63271.605,0.000
8200.000,75.000,182885.674,182885.674,45385770.260,64043.210,0.000
8300.000,75.000,183410.867,183410.867,45386541.865,64814.815,0.000
8400.000,75.000,184618.617,184618.617,45387313.470,65586.420,0.000
8500.000,75.000,187697.649,187697.649,45388085.075,66358.025,0.000
8600.000,75.000,191621.874,191621.874,45388856.680,67129.630,0.000
8700.000,75.000,192297.064,192297.064,45389628.285,67901.235,0.000
8800.000,75.000,193811.150,193811.150,45390399.890,68672.840,0.000
8900.000,75.000,196665.460,196665.460,45391171.495,69444.444,0.000
9000.000,75.000,197747.886,197747.886,45391943.100,70216.049,0.000
9100.000,75.000,198748.940,198748.940,45392714.705,70987.654,0.000
9200.000,75.000,201988.412,201988.412,45393486.310,71759.259,0.000
9300.000,75.000,203966.935,203966.935,45394257.915,72530.864,0.000
9400.000,75.000,204579.169,204579.169,45395029.520,73302.469,0.000
9500.000,75.000,206162.470,206162.470,45395801.124,74074.074,0.000
9600.000,75.000,210005.915,210005.915,45396572.729,74845.679,0.000
9700.000,75.000,211042.072,211042.072,45397344.334,75617.284,0.000
9800.000,75.000,211936.626,211936.626,45398115.939,76388.889,0.000
9900.000,75.000,216802.056,216802.056,45398887.544,77160.494,0.000
10000.000,75.000,219098.843,219098.843,45399659.149,77932.099,0.000
10100.000,75.000,220279.635,220279.635,45400430.754,78703.704,0.000
10200.000,75.000,222088.092,222088.092,45401202.359,79475.309,0.000
10300.000,75.000,224744.796,224744.796,45401973.964,80246.914,0.000
10400.000,75.000,226825.377,226825.377,45402745.569,81018.519,0.000
