# t(s), cv(%), R($), iR($), C($), iC($), d
0.000,62.700,14.844,14.916,45322372.112,771.605,16.400
1.000,62.700,41.735,42.622,45323017.174,1543.210,16.400
2.000,62.700,58.568,59.547,45323662.235,2314.815,16.400
3.000,62.700,67.457,69.187,45324307.297,3086.420,16.400
4.000,62.700,92.483,95.293,45324952.359,3858.025,16.400
5.000,62.700,117.166,120.350,45325597.421,4629.630,16.400
6.000,62.550,129.952,133.816,45326240.939,5401.235,16.600
7.000,62.550,141.357,145.491,45326884.458,6172.840,16.600
8.000,62.550,164.939,170.270,45327527.976,6944.444,16.600
9.000,62.550,187.190,193.158,45328171.495,7716.049,16.600
10.000,62.550,193.707,200.093,45328815.013,8487.654,16.600
11.000,62.550,213.275,221.851,45329458.532,9259.259,16.600
12.000,62.550,238.196,247.554,45330102.050,10030.864,16.600
13.000,62.550,250.163,260.803,45330745.569,10802.469,16.600
14.000,62.550,257.975,271.615,45331389.087,11574.074,16.600
15.000,62.550,280.986,295.655,45332032.606,12345.679,16.600
16.000,62.550,303.599,319.495,45332676.124,13117.284,16.600
17.000,62.550,318.047,334.300,45333319.643,13888.889,16.600
18.000,62.550,328.850,345.649,45333963.161,14660.494,16.600
19.000,62.550,352.038,369.281,45334606.680,15432.099,16.600
20.000,62.550,371.594,390.504,45335250.198,16203.704,16.600
21.000,62.550,380.811,400.813,45335893.717,16975.309,16.600
22.000,62.550,398.222,418.805,45336537.235,17746.914,16.600
23.000,62.550,424.918,446.341,45337180.754,18518.519,16.600
24.000,62.550,441.140,463.584,45337824.272,19290.123,16.600
25.000,62.550,449.755,473.941,45338467.791,20061.728,16.600
26.000,62.550,476.447,502.342,45339111.309,20833.333,16.600
27.000,62.550,500.645,528.396,45339754.828,21604.938,16.600
28.000,62.550,513.877,541.960,45340398.346,22376.543,16.600
29.000,62.550,525.985,554.221,45341041.865,23148.148,16.600
30.000,62.550,551.427,580.251,45341685.384,23919.753,16.600
31.000,62.550,572.321,603.100,45342328.902,24691.358,16.600
32.000,62.550,581.345,612.552,45342972.421,25462.963,16.600
33.000,62.550,603.835,635.344,45343615.939,26234.568,16.600
34.000,62.550,632.004,664.034,45344259.458,27006.173,16.600
35.000,62.550,645.443,678.234,45344902.976,27777.778,16.600
36.000,62.550,655.908,689.490,45345546.495,28549.383,16.600
37.000,62.550,680.311,714.584,45346190.013,29320.988,16.600
38.000,62.550,703.295,737.966,45346833.532,30092.593,16.600
39.000,62.550,718.089,752.934,45347477.050,30864.198,16.600
40.000,62.550,729.992,764.933,45348120.569,31635.802,16.600
41.000,62.550,752.037,787.267,45348764.087,32407.407,16.600
42.000,62.550,771.925,807.508,45349407.606,33179.012,16.600
43.000,62.550,781.722,818.070,45350051.124,33950.617,16.600
44.000,62.550,801.186,837.889,45350694.643,34722.222,16.600
45.000,62.475,829.492,866.807,45351337.390,35493.827,16.700
46.000,62.475,846.758,884.257,45351980.137,36265.432,16.700
47.000,62.475,858.452,896.162,45352622.884,37037.037,16.700
48.000,62.475,886.764,925.694,45353265.630,37808.642,16.700
49.000,62.475,912.870,951.941,45353908.377,38580.247,16.700
50.000,62.475,924.035,963.155,45354551.124,39351.852,16.700
51.000,62.475,939.628,979.160,45355193.871,40123.457,16.700
52.000,62.475,964.463,1005.764,45355836.618,40895.062,16.700
53.000,62.475,985.877,1028.822,45356479.365,41666.667,16.700
54.000,62.475,995.592,1038.643,45357122.112,42438.272,16.700
55.000,62.475,1021.323,1064.520,45357764.859,43209.877,16.700
56.000,62.475,1050.713,1094.688,45358407.606,43981.481,16.700
57.000,62.475,1062.274,1107.360,45359050.353,44753.086,16.700
58.000,62.475,1074.334,1119.504,45359693.100,45524.691,16.700
59.000,62.475,1101.895,1148.070,45360335.846,46296.296,16.700
60.000,62.475,1124.888,1171.787,45360978.593,47067.901,16.700
61.000,62.475,1137.474,1184.884,45361621.340,47839.506,16.700
62.000,62.475,1151.070,1198.987,45362264.087,48611.111,16.700
63.000,62.475,1173.233,1222.086,45362906.834,49382.716,16.700
64.000,62.475,1192.178,1242.037,45363549.581,50154.321,16.700
65.000,62.475,1203.290,1253.563,45364192.328,50925.926,16.700
66.000,62.475,1224.847,1275.395,45364835.075,51697.531,16.700
67.000,62.475,1254.037,1305.577,45365477.822,52469.136,16.700
