0.000,0.000
1.000,3506.828
2.000,1580.488
3.000,13950.663
4.000,8425.870
5.000,19783.638
6.000,12788.593
7.000,26767.062
8.000,16649.158
9.000,28465.428
10.000,15100.534
11.000,6279.260
12.000,7509.741
13.000,55184.969
14.000,25125.435
15.000,66079.493
16.000,33642.517
17.000,70513.857
18.000,70409.447
19.000,32735.186
20.000,74610.898
21.000,18267.026
22.000,4416.174
23.000,55883.305
24.000,82744.404
25.000,58070.174
26.000,106945.510
27.000,67844.689
28.000,83618.176
29.000,109632.888
30.000,31961.602
31.000,67627.825
32.000,11302.249
33.000,61296.448
34.000,52098.987
35.000,75955.908
36.000,121805.547
37.000,68442.780
38.000,119126.988
39.000,123320.195
40.000,45387.976
41.000,96992.198
42.000,26852.569
43.000,17504.786
44.000,47594.435
45.000,38994.541
46.000,116747.267
47.000,133861.685
48.000,73854.109
49.000,129516.489
50.000,132984.335
51.000,65019.797
52.000,97615.926
53.000,4504.798
54.000,43450.617
55.000,130983.353
56.000,94303.146
57.000,78199.837
58.000,107733.791
59.000,135522.606
60.000,74848.640
