CODE,HH SIZE,SHARING,NAME,DATA YEAR,AVE TRAFFIC,AVE PRICE
NIC,5.2,1,Nicaragua,2005,,6.04
NLD,2.3,1,Netherlands,2011,,7.99
NOR,2.2,1,Norway,2011,,13.21
NPL,4.4,1,Nepal,2011,,2.25
NRU,6,1,Nauru,2011,,28.13
NIU,3.1,1,Niue,2011,,9.20
NZL,2.7,1,New Zealand,2011,,9.79
OMN,8,1,Oman,2003,,11.28
OTH,3.4,1,Others,2020,,8.53
PAN,3.7,1,Panama,2010,,5.56
PER,3.8,1,Peru,2012,,2.48
PNG,5.3,1,Papua New Guinea,2011,,11.51
PHL,4.7,1,Philippines,2013,,3.16
PAK,6.8,1,Pakistan,2012,,1.85
POL,2.8,1,Poland,2011,,1.32
PRI,2.7,1,Puerto Rico,2010,,11.12
PSX,5.9,1,"Palestine, State of",2007,,2.06
PRT,2.6,1,Portugal,2011,,13.98
PRY,4.6,1,Paraguay,2002,,6.18
QAT,5.3,1,Qatar,2010,,4.62
ROU,2.7,1,Romania,2011,,1.89
SRB,2.9,1,Serbia,2011,,4.83
RUS,2.6,1,Russian Federation,2010,,0.91
RWA,4.3,1,Rwanda,2014,,0.56
SAU,5.6,1,Saudi Arabia,2010,,5.62
SLB,5.5,1,Solomon Islands,2009,,8.37
SYC,3.8,1,Seychelles,2002,,19.55
SDN,5.6,1,Sudan,2008,,0.68
SWE,2.2,1,Sweden,2015,,3.66
SGP,3.3,1,Singapore,2010,,3.67
SVN,2.5,1,Slovenia,2011,,2.21
SVK,2.9,1,Slovakia,2011,,5.56
SLE,5.6,1,Sierra Leone,2015,,5.79
SEN,8.3,1,Senegal,2015,,3.28
SOM,5.9,1,Somalia,2014,,6.19
SUR,3.9,1,Suriname,2004,,6.08
SDS,5.9,1,South Sudan,2008,,0.68
STP,4,1,Sao Tome and Principe,2012,,5.33
SLV,4.1,1,El Salvador,2007,,4.55
SXM,2.6,1,Sint Maarten (Dutch part),2011,,4.92
TCA,3,1,Turks and Caicos Islands,2012,,23.09
TCD,5.8,1,Chad,2014,,23.33
TGO,4.6,1,Togo,2013,,11.76
THA,3.7,1,Thailand,2000,,2.78
TJK,6.3,1,Tajikistan,2012,,4.84
TLS,5.8,1,Timor-Leste,2009,,4.48
TUN,4,1,Tunisia,2014,,2.87
TON,5.7,1,Tonga,2011,,25.52
TUR,4.1,1,Turkey,2003,,2.25
TTO,3.3,1,Trinidad and Tobago,2011,,17.10
TUV,6,1,Tuvalu,2002,,8.53
TZA,4.9,1,"Tanzania, United Republic of",2015,,5.93
UKR,2.5,1,Ukraine,2007,,0.51
UGA,4.7,1,Uganda,2014,,4.69
USA,2.6,1,United States of America,2010,,12.37
URY,2.8,1,Uruguay,2011,,2.80
UZB,5.2,1,Uzbekistan,1996,,3.27
VCT,3,1,Saint Vincent and the Grenadines,2012,,12.00
VEN,3.3,1,Venezuela (Bolivarian Republic of),2011,,8.53
VGB,2.4,1,Virgin Islands (British),2010,,18.55
VIR,2.4,1,Virgin Islands (U.S.),2010,,13.10
VNM,3.8,1,Viet Nam,2011,,1.31
VUT,4.8,1,Vanuatu,2009,,4.94
YEM,6.7,1,Yemen,2013,,15.73
ZAF,3.2,1,South Africa,2011,,7.19
ZMB,5.1,1,Zambia,2013,,2.25
ZWE,4.1,1,Zimbabwe,2015,,75.20
